סמל רשות,מספר סידורי,שם רשות מקומית,שטח שיפוט (דונם),שטח תפוס על ידי לוחות סולאריים (דונם),מספר מבנים,שטח גגות כולל (דונם),שטח פוטנציאל שנמצא מתאים לסולארי (דונם),שטח לא פנוי (דונם),הספק מותקן מוערך קיים (MW),אחוז מימוש,הספק פוטנציאל מוערך (MW),סיווג שימוש,הערות
2530,2,באר יעקב,9460.8,0.5,75,25.7,10.6,0.5,0.1,4.6,1.5,מגורים בנייה נמוכה  (10-15 מטרים),"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0,24,20.8,6,0.9,0,0,0.9,מגורים בניה גבוהה (16-27 מטרים),"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0,127,94.8,27.3,3,0,0,3.9,מגורים בניה רב קומות (מעל 28 מטרים ומעלה),"usg code is secondary usage, which is included in main usage"
2530,2,באר יעקב,9460.8,0.5,5,3.6,1.4,0.5,0.1,27.1,0.2,תעשייה,usg code is main usage
2530,2,באר יעקב,9460.8,0,3,0.5,0.3,0,0,0,0,תשתיות ומתקנים הנדסיים,usg code is main usage
2530,2,באר יעקב,9460.8,5,58,69.5,42.7,5,0.7,10.5,6.1,"מסחר, משרדים ותיירות",usg code is main usage
2530,2,באר יעקב,9460.8,1.3,19,15.9,11,0.4,0.2,10.6,1.6,חקלאות,usg code is main usage
2530,2,באר יעקב,9460.8,0.1,60,13.9,6.2,0,0,1.9,0.9,אחר,usg code is main usage
2500,3,נשר,12945.5,0.7,57,22.2,8.4,0.4,0.1,8.2,1.2,ציבורי,usg code is main usage
2500,3,נשר,12945.5,0,4,2.2,0.6,0,0,0,0.1,ממשלתי,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,0.4,5,2.9,1.8,0,0.1,16.3,0.3,תחבורה,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,0.2,24,10.6,3.1,0.2,0,5.7,0.4,אקדמיה,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,0,16,3.8,1.6,0,0,0,0.2,שירותי דת,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,0.2,2,1,0.4,0.2,0,36.1,0.1,חירום וביטחון,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,0,6,1.7,0.8,0,0,0,0.1,רפואה,"usg code is secondary usage, which is included in main usage"
2500,3,נשר,12945.5,1.4,96,52,26.3,1.4,0.2,5.1,3.8,רשות מקומית,usg code is main usage
